Date,Pays,Chaîne,Nom de la série,Saison,Épisode,URL
01-10-2023,tvN,Etats-Unis,Arthdal Chronicles,2,08,https://www.spin-off.frepisode08-411009-01102023-saison2-Arthdal-Chronicles.html
01-10-2023,Netflix,Etats-Unis,Behind Your Touch,1,16,https://www.spin-off.frepisode16-408686-01102023-saison1-Behind-Your-Touch.html
01-10-2023,Fox,Espagne,Bob's Burgers,14,01,https://www.spin-off.frepisode01-408094-01102023-saison14-Bob-s-Burgers.html
01-10-2023,ATRESplayer,Etats-Unis,Entre Tierras,1,04,https://www.spin-off.frepisode04-410970-01102023-saison1-Entre-Tierras.html
01-10-2023,Fox,Canada,Family Guy,22,01,https://www.spin-off.frepisode01-408096-01102023-saison22-Family-Guy.html
01-10-2023,CBC,Etats-Unis,Heartland (CA),17,01,https://www.spin-off.frepisode01-410271-01102023-saison17-Heartland-(CA).html
01-10-2023,Fox,Etats-Unis,Krapopolis,1,03,https://www.spin-off.frepisode03-408093-01102023-saison1-Krapopolis.html
01-10-2023,HBO,France,Last Week Tonight With John Oliver,10,11,https://www.spin-off.frepisode11-410868-01102023-saison10-Last-Week-Tonight-With-John-Oliver.html
01-10-2023,TMC,Canada,Les Mystères de l'amour,33,08,https://www.spin-off.frepisode08-410185-01102023-saison33-Les-Mysteres-de-l-amour.html
01-10-2023,CBC Gem,Etats-Unis,SkyMed,2,01,https://www.spin-off.frepisode01-410144-01102023-saison2-SkyMed.html
01-10-2023,Fox,Etats-Unis,The Simpsons,35,01,https://www.spin-off.frepisode01-408095-01102023-saison35-The-Simpsons.html
01-10-2023,Disney Channel,Etats-Unis,The Villains of Valley View,2,15,https://www.spin-off.frepisode15-410803-01102023-saison2-The-Villains-of-Valley-View.html
01-10-2023,AMC,Etats-Unis,The Walking Dead: Daryl Dixon,1,04,https://www.spin-off.frepisode04-409847-01102023-saison1-The-Walking-Dead-Daryl-Dixon.html
01-10-2023,Hallmark Channel,Canada,When Calls the Heart,10,10,https://www.spin-off.frepisode10-407539-01102023-saison10-When-Calls-the-Heart.html
02-10-2023,Radio Canada,France,5è Rang,6,04,https://www.spin-off.frepisode04-410913-02102023-saison6-5e-Rang.html
02-10-2023,Canal+,France,66-5,1,05,https://www.spin-off.frepisode05-410553-02102023-saison1-66-5.html
02-10-2023,Canal+,Canada,66-5,1,06,https://www.spin-off.frepisode06-410554-02102023-saison1-66-5.html
02-10-2023,TVA,Etats-Unis,Alertes,3,16,https://www.spin-off.frepisode16-410912-02102023-saison3-Alertes.html
02-10-2023,TBS (US),France,American Dad!,19,14,https://www.spin-off.frepisode14-410594-02102023-saison19-American-Dad.html
02-10-2023,TF1,Allemagne,Demain nous appartient,7,31,https://www.spin-off.frepisode31-410920-02102023-saison7-Demain-nous-appartient.html
02-10-2023,ZDF,France,Familie Bundschuh,1,08,https://www.spin-off.frepisode08-409953-02102023-saison1-Familie-Bundschuh.html
02-10-2023,TF1,France,Ici tout commence,4,26,https://www.spin-off.frepisode26-410915-02102023-saison4-Ici-tout-commence.html
02-10-2023,France 2,France,Infiltré(e),1,03,https://www.spin-off.frepisode03-410718-02102023-saison1-Infiltre(e).html
02-10-2023,France 2,Suède,Infiltré(e),1,04,https://www.spin-off.frepisode04-410719-02102023-saison1-Infiltre(e).html
02-10-2023,Discovery +,Canada,Kamikaze (NOR),1,03,https://www.spin-off.frepisode03-410738-02102023-saison1-Kamikaze-(NOR).html
02-10-2023,Citytv,France,Murdoch Mysteries,17,01,https://www.spin-off.frepisode01-410145-02102023-saison17-Murdoch-Mysteries.html
02-10-2023,Canal+,France,Narvalo,3,03,https://www.spin-off.frepisode03-410627-02102023-saison3-Narvalo.html
02-10-2023,Canal+,Corée du Sud,Narvalo,3,04,https://www.spin-off.frepisode04-410628-02102023-saison3-Narvalo.html
02-10-2023,KBS2,Allemagne,Pure Boxer,1,13,https://www.spin-off.frepisode13-409147-02102023-saison1-Pure-Boxer.html
02-10-2023,ZDF,Etats-Unis,SOKO Potsdam,6,02,https://www.spin-off.frepisode02-410907-02102023-saison6-SOKO-Potsdam.html
02-10-2023,NBC,Royaume-Uni,The Irrational,1,02,https://www.spin-off.frepisode02-409167-02102023-saison1-The-Irrational.html
02-10-2023,ITVX,Royaume-Uni,The Long Shadow,1,02,https://www.spin-off.frepisode02-410620-02102023-saison1-The-Long-Shadow.html
02-10-2023,ITVX,Royaume-Uni,The Long Shadow,1,03,https://www.spin-off.frepisode03-410816-02102023-saison1-The-Long-Shadow.html
02-10-2023,ITVX,Royaume-Uni,The Long Shadow,1,04,https://www.spin-off.frepisode04-410897-02102023-saison1-The-Long-Shadow.html
02-10-2023,ITVX,Royaume-Uni,The Long Shadow,1,05,https://www.spin-off.frepisode05-410898-02102023-saison1-The-Long-Shadow.html
02-10-2023,ITVX,Royaume-Uni,The Long Shadow,1,06,https://www.spin-off.frepisode06-410899-02102023-saison1-The-Long-Shadow.html
02-10-2023,ITVX,France,The Long Shadow,1,07,https://www.spin-off.frepisode07-410900-02102023-saison1-The-Long-Shadow.html
02-10-2023,France 2,Etats-Unis,Un Si Grand Soleil,6,23,https://www.spin-off.frepisode23-410925-02102023-saison6-Un-Si-Grand-Soleil.html
02-10-2023,Showtime,Etats-Unis,Ví?az,1,05,https://www.spin-off.frepisode05-410696-02102023-saison1-Viaz.html
03-10-2023,Disney+,France,Ahsoka,1,08,https://www.spin-off.frepisode08-406770-03102023-saison1-Ahsoka.html
03-10-2023,France 3,Canada,Alexandra Ehle,4,01,https://www.spin-off.frepisode01-410257-03102023-saison4-Alexandra-Ehle.html
03-10-2023,Radio Canada,Canada,À coeur battant,2,04,https://www.spin-off.frepisode04-410929-03102023-saison2-A-coeur-battant.html
03-10-2023,Noovo.ca,France,Club Soly,3,04,https://www.spin-off.frepisode04-410931-03102023-saison3-Club-Soly.html
03-10-2023,TF1,Etats-Unis,Demain nous appartient,7,32,https://www.spin-off.frepisode32-410921-03102023-saison7-Demain-nous-appartient.html
03-10-2023,NBC,France,Found,1,01,https://www.spin-off.frepisode01-408424-03102023-saison1-Found.html
03-10-2023,TF1,Etats-Unis,Ici tout commence,4,27,https://www.spin-off.frepisode27-410916-03102023-saison4-Ici-tout-commence.html
03-10-2023,Hulu,France,Only Murders in The Building,3,10,https://www.spin-off.frepisode10-406259-03102023-saison3-Only-Murders-in-The-Building.html
03-10-2023,France 2,Canada,Un Si Grand Soleil,6,24,https://www.spin-off.frepisode24-410926-03102023-saison6-Un-Si-Grand-Soleil.html
04-10-2023,Noovo.ca,Etats-Unis,Aller simple,2,04,https://www.spin-off.frepisode04-410649-04102023-saison2-Aller-simple.html
04-10-2023,FX,Etats-Unis,American Horror Story,12,03,https://www.spin-off.frepisode03-410183-04102023-saison12-American-Horror-Story.html
04-10-2023,FXX,Etats-Unis,Archer (2009),14,07,https://www.spin-off.frepisode07-408904-04102023-saison14-Archer-(2009).html
04-10-2023,BET,Etats-Unis,Assisted Living,4,20,https://www.spin-off.frepisode20-410621-04102023-saison4-Assisted-Living.html
04-10-2023,BET,Etats-Unis,Assisted Living,4,21,https://www.spin-off.frepisode21-410622-04102023-saison4-Assisted-Living.html
04-10-2023,BET,Canada,Assisted Living,4,22,https://www.spin-off.frepisode22-410623-04102023-saison4-Assisted-Living.html
04-10-2023,CBC,Canada,Bones of Crows,1,03,https://www.spin-off.frepisode03-410642-04102023-saison1-Bones-of-Crows.html
04-10-2023,CTV,Etats-Unis,Children Ruin Everything,3,02,https://www.spin-off.frepisode02-410794-04102023-saison3-Children-Ruin-Everything.html
04-10-2023,Syfy,France,Chucky,3,01,https://www.spin-off.frepisode01-409037-04102023-saison3-Chucky.html
04-10-2023,TF1,Etats-Unis,Demain nous appartient,7,33,https://www.spin-off.frepisode33-410922-04102023-saison7-Demain-nous-appartient.html
04-10-2023,Disney+,Etats-Unis,Hans River Police,1,07,https://www.spin-off.frepisode07-409972-04102023-saison1-Hans-River-Police.html
04-10-2023,Disney+,Canada,Hans River Police,1,08,https://www.spin-off.frepisode08-409973-04102023-saison1-Hans-River-Police.html
